Platform,Severity,Group,Number,Log Message
ASA,1,101,001,(Primary) Failover cable OK.
ASA,1,101,002,(Primary) Bad failover cable.
ASA,1,101,003,(Primary) Failover cable not connected (this unit).
ASA,1,101,004,(Primary) Failover cable not connected (other unit).
ASA,1,101,005,(Primary) Error reading failover cable status.
ASA,1,103,001,(Primary) No response from other firewall (reason code = code).
ASA,1,103,002,(Primary) Other firewall network interface interface_number OK.
ASA,1,103,003,(Primary) Other firewall network interface interface_number failed.
ASA,1,103,004,(Primary) Other firewall reports this firewall failed. Reason: reason-string
ASA,1,103,005,(Primary) Other firewall reporting failure. Reason: SSM card failure
ASA,1,103,006,(Primary|Secondary) Mate version ver_num is not compatible with ours ver_num
ASA,1,103,007,(Primary|Secondary) Mate version ver_num is not identical with ours ver_num%ASA-1-104001: (Primary) Switching to ACTIVE (cause: string).
ASA,1,104,002,(Primary) Switching to STANDBY (cause: string).
ASA,1,104,003,(Primary) Switching to FAILED.
ASA,1,104,004,(Primary) Switching to OK.
ASA,1,105,001,(Primary) Disabling failover.
ASA,1,105,002,(Primary) Enabling failover.
ASA,1,105,003,(Primary) Monitoring on interface interface_name waiting
ASA,1,105,004,(Primary) Monitoring on interface interface_name normal
ASA,1,105,005,(Primary) Lost Failover communications with mate on interface interface_name.
ASA,1,105,006,(Primary) Link status Up on interface interface_name.
ASA,1,105,007,(Primary) Link status Down on interface interface_name.
ASA,1,105,008,(Primary) Testing interface interface_name.
ASA,1,105,009,(Primary) Testing on interface interface_name {Passed|Failed}.
ASA,1,105,011,(Primary) Failover cable communication failure
ASA,1,105,020,(Primary) Incomplete/slow config replication
ASA,1,105,021,(failover_unit) Standby unit failed to sync due to a locked context_name config. Lock held by lock_owner_name
ASA,1,105,031,Failover LAN interface is up
ASA,1,105,032,LAN Failover interface is down
ASA,1,105,034,Receive a LAN_FAILOVER_UP message from peer.
ASA,1,105,035,Receive a LAN failover interface down msg from peer.
ASA,1,105,036,dropped a LAN Failover command message.
ASA,1,105,037,The primary and standby units are switching back and forth as the active unit.
ASA,1,105,038,(Primary) Interface count mismatch
ASA,1,105,039,(Primary) Unable to verify the Interface count with mate. Failover may be disabled in mate.
ASA,1,105,040,(Primary) Mate failover version is not compatible.
ASA,1,105,042,(Primary) Failover interface OK
ASA,1,105,043,(Primary) Failover interface failed
ASA,1,105,044,(Primary) Mate operational mode mode is not compatible with my mode mode.
ASA,1,105,045,(Primary) Mate license (number contexts) is not compatible with my license (number contexts).
ASA,1,105,046,(Primary|Secondary) Mate has a different chassis
ASA,1,105,047,Mate has a io_card_name1 card in slot slot_number which is different from my io_card_name2
ASA,1,105,048,(unit) Mate's service module (application) is different from mine (application)
ASA,1,106,021,Deny protocol reverse path check from source_address to dest_address on interface interface_name
ASA,1,106,022,Deny protocol connection spoof from source_address to dest_address on interface interface_name
ASA,1,106,101,The number of ACL log deny-flows has reached limit (number).
ASA,1,107,001,"RIP auth failed from IP_address: version=number, type=string, mode=string, sequence=number on interface interface_name"
ASA,1,107,002,RIP pkt failed from IP_address: version=number on interface interface_name
ASA,1,111,111,error_message
ASA,1,114,001,Failed to initialize 4GE SSM I/O card (error error_string).
ASA,1,114,002,Failed to initialize SFP in 4GE SSM I/O card (error error_string).
ASA,1,114,003,Failed to run cached commands in 4GE SSM I/O card (error error_string).
ASA,1,199,012,"Stack smash during new_stack_call in process/fiber process/fiber, call target f, stack size s, process/fiber name of the process/fiber that caused the stack smash"
